,Title,Company,Location,Salary,Posted
135,"('Web Master & IT Programmer Head',)","('Teguk Indonesia',)","('Banten - BSD - Tangerang Selatan',)","IDR 5,000,000 - 6,500,000",26 Apr - 1:00 AM
136,"('Desktop Programmer Developer',)","('Pt. Sistem Teknologi Regularisasi Elektronik Aktivitas Millenial',)","('Medan (Sumatera Utara)',)",Above Expected Salary,25 Apr - 1:00 AM
137,"('Programmer Front end',)","('Mega Kreasi Tech',)","('Jakarta Selatan (Jakarta Raya) - cilandak',)",Above Expected Salary,25 Apr - 1:00 AM
138,"('IT Programmer',)","('PT Petra Sejahtera Abadi',)","('Tangerang (Banten) - Serpong',)","IDR 5,000,000 - 6,500,000",25 Apr - 1:00 AM
139,"('Senior .NET Programmer',)","('PT Datacaraka Solusindo',)","('Jakarta Raya',)",Above Expected Salary,25 Apr - 1:00 AM
140,"('IT Programmer',)","('PT Ki-Antaka Rasa',)","('Jakarta Barat (Jakarta Raya) - Kebon Jeruk',)",Above Expected Salary,25 Apr - 1:00 AM
141,"('IT Programmer',)","('PD. BPR Bank Gresik',)","('Jawa Timur - Gresik',)",Above Expected Salary,25 Apr - 1:00 AM
142,"('Game Programmer',)","('PT Engram Teknologi Indonesia',)","('Denpasar (Bali)',)","IDR 5,000,000 - 7,000,000",25 Apr - 1:00 AM
143,"('ERP Programmer (F&B Industry)',)","('PT Berkat Jaya Damai',)","('Jakarta Utara (Jakarta Raya) - Kamal Muara',)",Above Expected Salary,24 Apr - 1:00 AM
144,"('Programmer',)","('Sekolah Pelita Harapan - Lippo Village Campus',)","('Tangerang (Banten)',)",Above Expected Salary,24 Apr - 1:00 AM
145,"('Oracle Developer / Oracle Programmer (PL / SQL)',)","('PT Profescipta Wahanatehnik',)","('Jakarta Raya - Matraman, East Jakarta',)","IDR 6,000,000 - 9,000,000",24 Apr - 1:00 AM
146,"('',)","('',)","('',)",,
147,"('Programmer Java Web FullStack',)","('Dana Pensiun Bank Indonesia',)","('Jakarta Selatan (Jakarta Raya)',)","IDR 8,000,000 - 12,000,000",24 Apr - 1:00 AM
148,"('API PROGRAMMER',)","('PT Transisi Teknologi Mandiri',)","('Sleman (Yogyakarta) - Seturan',)",Above Expected Salary,24 Apr - 1:00 AM
149,"('Oracle Programmer (PL / SQL)',)","('Erajaya Group',)","('Jakarta Barat (Jakarta Raya) - Erajaya Gedong Panjang',)",Above Expected Salary,24 Apr - 1:00 AM
150,"('IT Programmer Junior Manager (IT Prog - Q4)',)","('PT Lion Super Indo',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,23 Apr - 10:57 AM
151,"('WEB PROGRAMMER',)","('PT Hensel Davest Indonesia, Tbk',)","('Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Makassar (Sulawesi Selatan), Yogyakarta',)",Above Expected Salary,23 Apr - 1:00 AM
152,"('Programmer Web',)","('PT Gosantha Global',)","('Yogyakarta',)",Above Expected Salary,23 Apr - 1:00 AM
153,"('CNC Programmer',)","('PT OMS Oilfield Services',)","('Balikpapan (Kalimantan Timur)',)",Above Expected Salary,23 Apr - 1:00 AM
154,"('PROGRAMMER',)","('PT Verena Multi Finance Tbk',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary,23 Apr - 1:00 AM
155,"('Programmer',)","('PT EMS Paramitra',)","('Jakarta Timur (Jakarta Raya) - Rawamangun',)","IDR 5,000,000 - 8,000,000",23 Apr - 1:00 AM
156,"('Desktop Programmer',)","('PT Erela',)","('Semarang (Jawa Tengah)',)",Above Expected Salary,23 Apr - 1:00 AM
157,"('Android Programmer',)","('PT Erela',)","('Semarang (Jawa Tengah)',)",Above Expected Salary,23 Apr - 1:00 AM
158,"('Programmer',)","('Yayasan Kesejahteraan Karyawan Bank Indonesia',)","('Jakarta Selatan (Jakarta Raya)',)","IDR 6,000,000 - 7,800,000",22 Apr - 1:00 AM
159,"('Android Programmer',)","('PT Kazee Digital Indonesia',)","('Bandung (Jawa Barat) - Jl.Setrasari',)","IDR 5,000,000 - 7,000,000",22 Apr - 1:00 AM
